pep_id,Title,louvain_group_id,group_category,group_id,Type,Status,Created_dt,group_name
0001,PEP Purpose and Guidelines,0,A,0,Process,Active,2000-06-13,A-09
0009,Sample Plaintext PEP Template,0,A,0,Process,Withdrawn,2001-08-14,A-09
0012,Sample reStructuredText PEP Template,0,A,0,Process,Active,2002-08-05,A-09
0013,Python Language Governance,0,A,0,Informational,Active,2018-12-16,A-09
0216,Docstring Format,0,A,0,Informational,Rejected,2000-07-31,A-09
0224,Attribute Docstrings,0,A,0,Standards Track,Rejected,2000-08-23,A-09
0226,Python 2.1 Release Schedule,0,A,0,Informational,Final,2000-10-16,A-09
0256,Docstring Processing System Framework,0,A,0,Standards Track,Rejected,2001-06-01,A-09
0257,Docstring Conventions,0,A,0,Informational,Active,2001-05-29,A-09
0258,Docutils Design Specification,0,A,0,Standards Track,Rejected,2001-05-31,A-09
0287,reStructuredText Docstring Format,0,A,0,Informational,Active,2002-03-25,A-09
0331,Locale-Independent Float/String Conversions,0,A,0,Standards Track,Final,2003-07-19,A-09
0666,Reject Foolish Indentation,0,A,0,Standards Track,Rejected,2001-12-03,A-09
8000,Python Language Governance Proposal Overview,0,A,0,Informational,Active,2018-08-24,A-09
8001,Python Governance Voting Process,0,A,0,Process,Accepted,2018-08-24,A-09
8002,Open Source Governance Survey,0,A,0,Informational,Active,2018-08-24,A-09
8010,The Technical Leader Governance Model,0,A,0,Informational,Rejected,2018-08-24,A-09
8011,Python Governance Model Lead by Trio of Pythonistas,0,A,0,Informational,Rejected,2018-08-24,A-09
8012,The Community Governance Model,0,A,0,Informational,Rejected,2018-10-03,A-09
8013,The External Council Governance Model,0,A,0,Informational,Rejected,2018-09-14,A-09
8014,The Commons Governance Model,0,A,0,Informational,Rejected,2018-09-16,A-09
8015,Organization of the Python community,0,A,0,Informational,Rejected,2018-10-04,A-09
8016,The Steering Council Model,0,A,0,Informational,Accepted,2018-11-01,A-09
8100,January 2019 steering council election,0,A,0,Informational,Active,2019-01-03,A-09
8101,2020 Term steering council election,0,A,0,Informational,Active,2019-11-16,A-09
8102,2021 Term steering council election,0,A,0,Informational,Active,2020-10-29,A-09
0002,Procedure for Adding New Modules,1,A,0,Process,Final,2001-07-07,A-07
0003,Guidelines for Handling Bug Reports,1,A,0,Process,Withdrawn,2000-09-25,A-07
0005,Guidelines for Language Evolution,1,A,0,Process,Active,2000-10-26,A-07
0006,Bug Fix Releases,1,A,0,Process,Active,2001-03-15,A-07
0042,Feature Requests,1,A,0,Process,Rejected,2000-09-12,A-07
0227,Statically Nested Scopes,1,A,0,Standards Track,Final,2000-11-01,A-07
0230,Warning Framework,1,A,0,Standards Track,Final,2000-11-28,A-07
0235,Import on Case-Insensitive Platforms,1,A,0,Standards Track,Final,2001-02-21,A-07
0236,Back to the __future__,1,A,0,Standards Track,Final,2001-02-26,A-07
0244,The directive statement,1,A,0,Standards Track,Rejected,2001-03-20,A-07
0317,Eliminate Implicit Exception Instantiation,1,A,0,Standards Track,Rejected,2003-05-06,A-07
0319,Python Synchronize/Asynchronize Block,1,A,0,Standards Track,Rejected,2003-02-24,A-07
0368,Standard image protocol and class,1,A,0,Standards Track,Deferred,2007-06-28,A-07
0387,Backwards Compatibility Policy,1,A,0,Process,Active,2009-06-18,A-07
0408,Standard library __preview__ package,1,A,0,Standards Track,Rejected,2012-01-07,A-07
0411,Provisional packages in the Python standard library,1,A,0,Informational,Active,2012-02-10,A-07
0497,A standard mechanism for backward compatibility,1,A,0,Process,Rejected,2015-08-04,A-07
0558,Defined semantics for locals(),1,A,0,Standards Track,Draft,2017-09-08,A-07
0565,Show DeprecationWarning in __main__,1,A,0,Standards Track,Final,2017-11-12,A-07
0577,Augmented Assignment Expressions,1,A,0,Standards Track,Withdrawn,2018-05-14,A-07
0596,Python 3.9 Release Schedule,1,A,0,Informational,Active,2019-06-04,A-07
0598,Introducing incremental feature releases,1,A,0,Informational,Withdrawn,2019-06-15,A-07
0602,Annual Release Cycle for Python,1,A,0,Informational,Accepted,2019-06-04,A-07
0605,A rolling feature release stream for CPython,1,A,0,Informational,Rejected,2019-09-20,A-07
0606,Python Compatibility Version,1,A,0,Standards Track,Rejected,2019-10-18,A-07
0607,Reducing CPython's Feature Delivery Latency,1,A,0,Informational,Final,2019-10-11,A-07
0608,Coordinated Python release,1,A,0,Standards Track,Rejected,2019-10-25,A-07
0614,Relaxing Grammar Restrictions On Decorators,1,A,0,Standards Track,Final,2020-02-10,A-07
0616,String methods to remove prefixes and suffixes,1,A,0,Standards Track,Accepted,2020-03-19,A-07
3002,Procedure for Backwards-Incompatible Changes,1,A,0,Process,Final,2006-03-27,A-07
3143,Standard daemon process library,1,A,0,Standards Track,Deferred,2009-01-26,A-07
3144,IP Address Manipulation Library for the Python Standard Library,1,A,0,Standards Track,Final,2012-02-06,A-07
3153,Asynchronous IO support,1,A,0,Standards Track,Superseded,2011-05-29,A-07
0004,Deprecation of Standard Modules,2,A,0,Process,Active,2000-10-01,A-02
0202,List Comprehensions,2,A,0,Standards Track,Final,2000-07-13,A-02
0204,Range Literals,2,A,0,Standards Track,Rejected,2000-07-14,A-02
0212,Loop Counter Iteration,2,A,0,Standards Track,Rejected,2000-08-22,A-02
0219,Stackless Python,2,A,0,Standards Track,Deferred,2000-08-14,A-02
0220,"Coroutines, Generators, Continuations",2,A,0,Informational,Rejected,2000-08-14,A-02
0234,Iterators,2,A,0,Standards Track,Final,2001-01-30,A-02
0255,Simple Generators,2,A,0,Standards Track,Final,2001-05-18,A-02
0274,Dict Comprehensions,2,A,0,Standards Track,Final,2001-10-25,A-02
0276,Simple Iterator for ints,2,A,0,Standards Track,Rejected,2001-11-12,A-02
0279,The enumerate() built-in function,2,A,0,Standards Track,Final,2002-01-30,A-02
0281,Loop Counter Iteration with range and xrange,2,A,0,Standards Track,Rejected,2002-02-11,A-02
0284,Integer for-loops,2,A,0,Standards Track,Rejected,2002-03-01,A-02
0288,Generators Attributes and Exceptions,2,A,0,Standards Track,Withdrawn,2002-03-21,A-02
0289,Generator Expressions,2,A,0,Standards Track,Final,2002-01-30,A-02
0290,Code Migration and Modernization,2,A,0,Informational,Active,2002-06-06,A-02
0294,Type Names in the types Module,2,A,0,Standards Track,Rejected,2002-06-19,A-02
0296,Adding a bytes Object Type,2,A,0,Standards Track,Withdrawn,2002-07-12,A-02
